Route,Type1910,Type1920,Type1930,Type1940,Type1950,Type1960,Type1970,Type1980,OffPeak1910,Peak1910,OffPeak1920,Peak1920,OffPeak1940,Peak1940,Peak_Freq,Opeak_Freq,Mileage
Main St,Trolley,Both,Both,Both,,,,,15,15,10,10,10,10,10,10,0.12960791151
Blue Hills Ave,Trolley,Trolley,Trolley,Trolley,,,,,0,0,30,30,30,30,15,15,0.628104871461
Albany Ave,Trolley,Trolley,Trolley,Trolley,,,,,15,15,15,15,10,10,10,10,0.274441663557
Albany Ave,Trolley,Trolley,Trolley,Both,,,,,0,0,30,15,20,10,10,10,0.162495739841
Unionville-Farmington,Trolley,Trolley,Trolley,Bus,,,,,60,30,20,20,0,0,10,15,1.22645083616
Park St,Trolley,Trolley,Both,Both,,,,,20,20,20,20,15,12,15,15,0.251099167529
Main St,Trolley,Both,Both,Both,,,,,15,15,10,10,10,10,10,10,0.0692319832973
Burnside,Trolley,Trolley,Trolley,Bus,,,,,20,20,30,15,0,0,15,30,1.92453396775
East Windsor Hill,Trolley,Trolley,Trolley,Bus,,,,,30,30,30,30,0,0,30,60,0.822325774442
New Britain,Trolley,Trolley,Trolley,Both,,,,,30,30,15,15,20,10,20,20,0.571516157746
New Britain,Trolley,Trolley,Trolley,Both,,,,,30,30,15,30,20,10,20,20,0.143016038746
Park St,Trolley,Trolley,Trolley,Trolley,,,,,15,15,20,20,15,12,15,15,0.461917487978
Park St,Trolley,Trolley,Both,Both,,,,,15,15,10,10,15,12,15,15,0.489224902128
Prospect Ave S,Trolley,Trolley,NA,NA,,,,,20,20,20,20,0,0,0,0,0.34913917338
Prospect Ave S,Trolley,Trolley,Trolley,NA,,,,,20,20,20,20,0,0,20,20,0.068199135019
Park St,Trolley,Trolley,Both,Both,,,,,20,20,20,20,15,12,12,12,0.842054734141
,,,,,,,,,0,0,20,20,0,0,0,0,0
West Hartford,Trolley,Trolley,Trolley,Bus,,,,,5,5,5,5,0,0,5,5,0.705635168321
,,,,,,,,,0,0,15,15,0,0,0,0,0
,Trolley,Trolley,Bus,Bus,,,,,60,60,60,60,0,0,0,0,2.33668702996
Broad St,Trolley,Trolley,Bus,Bus,,,,,0,0,10,10,0,0,0,0,1.27766874124
Broad St,Trolley,Trolley,Bus,Bus,,,,,0,0,10,10,0,0,0,0,1.27766874124
Park St,Trolley,Trolley,Both,Both,,,,,10,10,10,10,15,12,12,12,0.842054734141
,,,,,,,,,30,30,0,0,0,0,0,0,0
,,,,,,,,,30,30,0,0,0,0,0,0,0
,,,,,,,,,20,20,0,0,0,0,0,0,0
,,,,,,,,,60,60,0,0,0,0,0,0,0
